season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Houston,Big 12,287,235,19,13,32,26,4,6,6,5,13,2,2,139,246,10,12,0,1,419,751,22,29,2813,2845,377,403,242,243,12,10,26,16,60,98,521,867,25204,21596,0,0,128,247,21,17,545,450,17,17,2322,1677,28,19,61,68,80,66,196,184,5135,4522,14,18
2025,Illinois,Big Ten,276,261,13,16,23,28,5,10,10,5,13,0,0,32,49,6,6,0,1,245,362,12,13,3065,2839,372,429,251,273,6,6,23,19,60,75,513,675,24112,22688,1,1,213,38,13,9,457,415,21,17,1796,1650,28,32,64,72,64,76,152,169,4861,4489,11,16
2025,Indiana,Big Ten,380,211,10,14,18,28,1,11,11,1,16,2,1,122,142,7,19,0,0,208,708,10,36,3826,3021,406,487,292,302,19,7,46,10,60,65,441,559,32139,25446,3,0,414,126,27,18,650,413,35,8,3475,1235,46,25,129,66,112,62,199,206,7301,4256,8,30
2025,Iowa,Big Ten,227,204,12,5,18,20,5,3,3,5,13,1,0,161,31,8,11,1,0,560,392,22,27,1861,2245,286,372,180,215,11,8,12,9,39,50,392,410,24540,22260,3,0,609,80,22,8,504,402,28,12,2300,1449,25,18,62,55,70,56,161,165,4161,3694,13,14
2025,Iowa State,Big 12,253,212,19,11,28,25,5,7,7,5,12,0,1,132,98,9,11,0,0,190,970,12,47,2657,2622,346,387,210,237,11,9,16,14,55,78,480,694,22736,20464,1,0,215,15,11,7,478,368,23,14,2090,1667,13,22,60,60,65,62,163,160,4747,4289,14,18
2025,Jacksonville State,Conference USA,297,293,16,18,30,35,7,10,10,8,14,1,1,270,49,6,14,0,1,192,697,13,32,2265,3283,328,446,195,273,14,6,13,19,80,90,788,748,25572,24828,0,0,47,107,9,12,647,503,32,22,3467,2026,28,23,76,82,77,68,199,187,5732,5309,13,24
2025,James Madison,Sun Belt,315,204,11,12,21,26,6,3,3,6,14,2,0,200,47,10,14,1,0,478,583,22,28,2956,2542,385,420,225,214,14,10,26,18,105,78,1015,672,28743,21657,0,1,196,81,24,10,598,425,38,9,3412,1196,35,23,85,62,91,57,195,195,6368,3738,16,17
2025,Kansas,Big 12,247,234,16,19,28,29,5,6,6,5,12,0,1,32,141,8,4,1,0,585,286,26,15,2640,2569,345,354,211,227,4,8,23,19,60,67,477,572,22080,21120,0,0,134,83,20,17,426,438,17,19,2037,2078,24,20,75,53,58,71,149,175,4677,4647,13,10
2025,Kansas State,Big 12,206,249,18,18,32,37,8,13,13,8,12,1,1,87,90,7,13,1,0,678,502,27,23,2380,2669,342,391,204,222,13,7,18,14,49,53,459,402,20887,22313,0,0,70,79,15,16,398,483,23,23,2067,1966,28,13,72,69,58,71,157,180,4447,4635,15,26
2025,Kennesaw State,Conference USA,301,298,13,15,22,31,7,6,6,8,14,0,2,129,230,11,9,0,0,530,736,27,39,3403,3061,423,421,260,257,9,11,26,19,105,103,935,934,23611,26824,1,0,234,59,25,12,540,555,20,25,2241,2587,31,27,90,76,76,76,190,197,5644,5648,18,15
2025,Kent State,Mid-American,171,284,14,10,30,22,7,4,4,7,12,0,1,109,56,6,6,2,0,622,325,32,17,2365,2832,293,389,163,232,6,6,20,25,73,68,585,643,19974,23226,1,1,211,200,16,22,395,494,10,22,1180,2307,24,27,70,73,43,78,156,175,3545,5139,13,10
