season,team,conference,offense_passingPlays_explosiveness,offense_passingPlays_successRate,offense_passingPlays_totalPPA,offense_passingPlays_ppa,offense_passingPlays_rate,offense_rushingPlays_explosiveness,offense_rushingPlays_successRate,offense_rushingPlays_totalPPA,offense_rushingPlays_ppa,offense_rushingPlays_rate,offense_passingDowns_explosiveness,offense_passingDowns_successRate,offense_passingDowns_ppa,offense_passingDowns_rate,offense_standardDowns_explosiveness,offense_standardDowns_successRate,offense_standardDowns_ppa,offense_standardDowns_rate,offense_havoc_db,offense_havoc_frontSeven,offense_havoc_total,offense_fieldPosition_averagePredictedPoints,offense_fieldPosition_averageStart,offense_pointsPerOpportunity,offense_totalOpportunies,offense_openFieldYardsTotal,offense_openFieldYards,offense_secondLevelYardsTotal,offense_secondLevelYards,offense_lineYardsTotal,offense_lineYards,offense_stuffRate,offense_powerSuccess,offense_explosiveness,offense_successRate,offense_totalPPA,offense_ppa,offense_drives,offense_plays,defense_passingPlays_explosiveness,defense_passingPlays_successRate,defense_passingPlays_totalPPA,defense_passingPlays_ppa,defense_passingPlays_rate,defense_rushingPlays_explosiveness,defense_rushingPlays_successRate,defense_rushingPlays_totalPPA,defense_rushingPlays_ppa,defense_rushingPlays_rate,defense_passingDowns_explosiveness,defense_passingDowns_successRate,defense_passingDowns_totalPPA,defense_passingDowns_ppa,defense_passingDowns_rate,defense_standardDowns_explosiveness,defense_standardDowns_successRate,defense_standardDowns_ppa,defense_standardDowns_rate,defense_havoc_db,defense_havoc_frontSeven,defense_havoc_total,defense_fieldPosition_averagePredictedPoints,defense_fieldPosition_averageStart,defense_pointsPerOpportunity,defense_totalOpportunies,defense_openFieldYardsTotal,defense_openFieldYards,defense_secondLevelYardsTotal,defense_secondLevelYards,defense_lineYardsTotal,defense_lineYards,defense_stuffRate,defense_powerSuccess,defense_explosiveness,defense_successRate,defense_totalPPA,defense_ppa,defense_drives,defense_plays
2025,Oklahoma State,Big 12,1.4195587854741867,0.34108527131782945,13.601069426252494,0.035144882238378534,0.49174078780177893,0.8688708882115906,0.3444730077120823,-20.585494329674564,-0.052919008559574716,0.49428208386277,1.990903591391586,0.23529411764705882,0.18926033970147776,0.36721728081321475,0.8908985217140767,0.4036144578313253,-0.12813124541865203,0.6327827191867853,0.076,0.112,0.188,1.087,74.2,2.9615384615384617,52,298,0.7660668380462725,342,0.8791773778920309,1012,2.6002570694087406,0.19794344473007713,0.675,1.1689667177663838,0.3418043202033037,-9.11312204476164,-0.011579570577841982,142,787,1.6765718734769668,0.48333333333333334,160.68419949391122,0.44634499859419785,0.4472049689440994,1.044333272357374,0.418013856812933,55.277573646239055,0.12766183290124494,0.537888198757764,2.0404752908360675,0.30991735537190085,160.68419949391122,0.3487323786947563,0.30062111801242236,1.1745362521380236,0.4991119005328597,0.2234030465828599,0.6993788819875777,0.046,0.103,0.149,-1.492,69.2,4.0,78,0,1.2886836027713626,452,1.043879907621247,1246,2.8782909930715936,0.20785219399538107,0.7037037037037037,1.356967229391825,0.4422360248447205,210.16915087028116,0.2610796905220884,139,805
2025,Old Dominion,Sun Belt,1.8024593675541165,0.42528735632183906,129.10168620536777,0.3709818569119763,0.38839285714285715,0.9748831237747618,0.4758364312267658,86.95947366872113,0.16163470942141475,0.6004464285714286,2.308917468867857,0.3333333333333333,0.4666320627335905,0.2845982142857143,1.0023025568679278,0.5023400936037441,0.1449428510205284,0.7154017857142857,0.041,0.096,0.138,1.467,69.7,3.941860465116279,86,1029,1.912639405204461,705,1.3104089219330854,1731,3.2182156133828994,0.15427509293680297,0.6285714285714286,1.2751828210448173,0.45424107142857145,211.89954350122426,0.23649502622904495,169,896,1.4908209022794878,0.33867276887871856,34.885703818043936,0.07982998585364745,0.4765539803707743,0.7868039008238477,0.42516268980477223,-1.562556026532709,-0.0033894924653637935,0.5027262813522355,1.8440350877574243,0.25524475524475526,34.885703818043936,0.2139072744819133,0.311886586695747,0.887105475059491,0.43423137876386686,-0.07040030688251811,0.688113413304253,0.068,0.118,0.186,-1.378,71.0,3.028985507246377,69,0,0.89587852494577,481,1.0433839479392626,1319,2.861822125813449,0.21475054229934923,0.6065573770491803,1.0884191976155404,0.37840785169029445,16.754886858958272,0.018271414240957767,171,917
2025,Ole Miss,SEC,1.5713032703667404,0.5055970149253731,248.32183973801895,0.46328701443660253,0.4855072463768116,0.9569366124980269,0.4658273381294964,89.47257826067295,0.16092190334653406,0.5036231884057971,2.135985442717265,0.3859060402684564,0.5355644878187054,0.26992753623188404,1.044718954108461,0.5210918114143921,0.22289869476884105,0.730072463768116,0.06,0.073,0.133,1.247,71.9,4.43859649122807,114,745,1.3399280575539567,579,1.04136690647482,1596,2.87068345323741,0.20323741007194246,0.79,1.279290255398204,0.4846014492753623,339.2545653536601,0.30729580195077905,176,1104,1.5718814778520236,0.3615702479338843,55.10808749063058,0.11385968489799707,0.4820717131474104,1.0623224879850905,0.4209486166007905,80.32922014062959,0.15875339948741024,0.5039840637450199,2.0966572285501006,0.2823529411764706,55.10808749063058,0.24593844582802304,0.3386454183266932,1.0267818715998904,0.4427710843373494,0.04022881685431208,0.6613545816733067,0.069,0.099,0.167,-1.148,72.7,3.097560975609756,82,0,1.1304347826086958,532,1.051383399209486,1524,3.0120553359683795,0.1976284584980237,0.6545454545454545,1.2901358056184036,0.3884462151394422,110.33100597279105,0.10989144021194328,176,1004
2025,Oregon,Big Ten,1.6716824592353872,0.47533632286995514,180.3913993852951,0.40446502104326254,0.4537131230925738,1.0637435190565143,0.4797687861271676,123.47681273478645,0.23791293397839394,0.5279755849440488,2.1523407862302166,0.3169811320754717,0.4113167426082023,0.2695829094608342,1.1655782939789576,0.532033426183844,0.26262853814392323,0.7304170905391658,0.032,0.077,0.109,1.45,68.9,4.099009900990099,101,1008,1.9421965317919074,607,1.1695568400770713,1598,3.0789980732177264,0.17341040462427745,0.7246376811594203,1.3434496445135193,0.474059003051882,297.56622717851053,0.302712336905911,165,983,1.5398812270615974,0.3506787330316742,45.47203162719099,0.10287789960902939,0.47171824973319104,0.9490877137519368,0.3865546218487395,30.535108026850374,0.06414938661103019,0.5080042689434365,1.9312990840169166,0.27129337539432175,45.47203162719099,0.18069652751676446,0.3383137673425827,0.9882252277626423,0.4112903225806452,-0.03075874566644148,0.6616862326574173,0.086,0.096,0.182,-1.135,73.4,3.903225806451613,62,0,0.7436974789915967,383,0.8046218487394958,1323,2.7785714285714285,0.1638655462184874,0.704225352112676,1.226067901187474,0.3639274279615795,38.210376909620614,0.040779484428623926,166,937
2025,Oregon State,Pac-12,1.3716363519129147,0.4100877192982456,56.66825017358873,0.12427247845085247,0.5308498253783469,0.7338998289420842,0.44387755102040816,6.942170969920901,0.017709619821226787,0.4563445867287544,1.7009118351227341,0.2777777777777778,0.07704163739668245,0.31431897555296856,0.9126764463719321,0.4906621392190153,0.05482040824369998,0.6856810244470314,0.071,0.091,0.163,1.277,71.7,2.891891891891892,74,415,1.058673469387755,379,0.9668367346938775,1110,2.8308673469387755,0.16071428571428573,0.75,1.0750875841639929,0.42374854481955765,53.090462552643544,0.06180496222659319,151,859,1.95825368453305,0.36338028169014086,111.11475904515832,0.31299932125396707,0.4658792650918635,0.9582766054735924,0.4151898734177215,36.29056094878078,0.09187483784501464,0.5183727034120735,2.4662213557889263,0.2924901185770751,111.11475904515832,0.4386932157862403,0.3320209973753281,1.0516690075833235,0.4361493123772102,0.05661831937558781,0.6679790026246719,0.073,0.099,0.172,-1.545,68.2,3.4054054054054053,74,0,1.3493670886075948,422,1.0683544303797468,1039,2.629367088607595,0.23291139240506328,0.725,1.4053070946347241,0.3884514435695538,139.808108156093,0.18347520755392782,148,762
2025,Penn State,Big Ten,1.4483064819204032,0.45058139534883723,100.54875929566431,0.29229290492925675,0.4241676942046856,0.996234382654076,0.47555555555555556,92.86366025005856,0.20636368944457456,0.5548705302096177,2.022748872129027,0.3130841121495327,0.34906942637690697,0.2638717632552404,1.018256090989624,0.5159128978224455,0.18446434494286842,0.7361282367447596,0.047,0.088,0.135,1.506,68.1,4.32,75,556,1.2355555555555555,479,1.0644444444444443,1406,3.1246666666666667,0.16444444444444445,0.7468354430379747,1.1977254678865308,0.4623921085080148,184.82607117555054,0.2278989780216406,130,811,1.502968460365433,0.3795811518324607,62.60486187087896,0.16388707296041613,0.47869674185463656,0.9291673527732442,0.44226044226044225,41.325633399821015,0.10153718280054302,0.5100250626566416,1.9183707073981964,0.2875,62.60486187087896,0.24934111132971887,0.3007518796992481,0.9877051197192209,0.460573476702509,0.04273134337010581,0.6992481203007519,0.051,0.108,0.159,-1.171,73.2,3.3333333333333335,66,0,1.1670761670761671,440,1.0810810810810811,1194,2.9341523341523343,0.18427518427518427,0.6716417910447762,1.18468648643655,0.40852130325814534,83.68595631965157,0.10486961944818493,132,798
2025,Pittsburgh,ACC,1.645545627236835,0.40040650406504064,151.69392263402125,0.30832098096345784,0.5503355704697986,0.9397658637902189,0.41450777202072536,22.87051832699597,0.05925004747926417,0.4317673378076063,1.9730443965518876,0.31438127090301005,0.3564030356563127,0.3344519015659955,1.121361845502546,0.4470588235294118,0.08152961322961622,0.6655480984340044,0.077,0.107,0.184,1.656,66.7,3.648936170212766,94,441,1.1424870466321244,413,1.0699481865284974,1062,2.7520725388601037,0.22020725388601037,0.7222222222222222,1.3437456227209852,0.40268456375838924,155.07462753285915,0.17346155205017802,166,894,1.6701616763177425,0.3730684326710817,98.16688979319007,0.2167039509783445,0.5124434389140271,0.904742193887075,0.34375,-28.418193614578296,-0.06831296541965937,0.47058823529411764,2.065835291850264,0.2601880877742947,98.16688979319007,0.17356749350741282,0.3608597285067873,1.066295519810623,0.41061946902654867,0.011462751740063778,0.6391402714932126,0.064,0.125,0.189,-1.473,69.0,3.805555555555556,72,0,0.8125,336,0.8076923076923077,969,2.3295673076923076,0.25721153846153844,0.7142857142857143,1.3296663168877347,0.3563348416289593,61.84448516200072,0.06995982484389222,175,884
2025,Purdue,Big Ten,1.4130092550008986,0.42168674698795183,49.270470080526096,0.11872402429042432,0.5286624203821656,1.0061861091656217,0.42777777777777776,44.91945648836975,0.12477626802324929,0.4585987261146497,1.9370114242924443,0.3411764705882353,0.3223412797567776,0.3248407643312102,0.9647982817188143,0.45849056603773586,-0.01087305668040997,0.6751592356687898,0.06,0.1,0.16,1.195,72.5,3.0615384615384613,65,365,1.0138888888888888,372,1.0333333333333332,1045,2.9030555555555555,0.19722222222222222,0.5882352941176471,1.2211090193064076,0.42038216560509556,76.43430629736102,0.09736854305396307,128,785,1.6608851928961008,0.484472049689441,137.90142215141478,0.428265286184518,0.4236842105263158,0.889446828426221,0.47540983606557374,76.08720665628918,0.17819017952292548,0.5618421052631579,1.9142103883205406,0.3222748815165877,137.90142215141478,0.2699239161256634,0.2776315789473684,1.0888850349553851,0.5373406193078324,0.26963036860161776,0.7223684210526315,0.057,0.095,0.152,-1.238,72.4,4.028985507246377,69,0,1.2622950819672132,502,1.1756440281030445,1372,3.2131147540983607,0.18969555035128804,0.7457627118644068,1.243491437238665,0.4776315789473684,204.98101866480314,0.26971186666421465,130,760
2025,Rice,American Athletic,1.7091994604946623,0.3133047210300429,18.104753818457684,0.07770280608780122,0.27541371158392436,1.0445916291668795,0.3756260434056761,20.606662086581586,0.03440177309946842,0.7080378250591016,2.112080675601298,0.19927536231884058,0.029128861644878302,0.3262411347517731,1.005676988849456,0.43157894736842106,0.04141173133166699,0.6737588652482269,0.033,0.143,0.176,1.153,73.0,3.2142857142857144,56,727,1.2136894824707847,564,0.9415692821368948,1599,2.6689482470784642,0.21035058430717862,0.6984126984126984,1.2078437754652411,0.3557919621749409,31.644252673036597,0.037404553987040894,144,846,1.884801655073337,0.40100250626566414,144.30001985141257,0.3616541850912596,0.4661214953271028,1.1338615911639771,0.42663656884875845,69.1586027586132,0.15611422744607945,0.5175233644859814,2.3437066356846703,0.3244274809160305,144.30001985141257,0.42252038135358977,0.3060747663551402,1.2109928677977488,0.45286195286195285,0.15920079484725755,0.6939252336448598,0.05,0.085,0.135,-1.396,70.2,3.7125,80,0,1.3521444695259595,504,1.1376975169300225,1322,2.983295711060948,0.19187358916478556,0.5972222222222222,1.4829721623468684,0.4135514018691589,205.2656120539115,0.2397962757639153,151,856
2025,Rutgers,Big Ten,1.5385544558631798,0.47294117647058825,149.03343962963464,0.3506669167756109,0.4868270332187858,0.8496180881090288,0.4520547945205479,35.52570104947065,0.08110890650564075,0.5017182130584192,1.8438352635410231,0.34901960784313724,0.3449386510392184,0.2920962199312715,1.0427472115020906,0.5080906148867314,0.15454655376696347,0.7079037800687286,0.071,0.087,0.159,1.231,71.9,3.3780487804878048,82,333,0.7602739726027398,425,0.9703196347031964,1329,3.034474885844749,0.1552511415525114,0.7368421052631579,1.219662438875453,0.4616265750286369,183.46912624298412,0.2101593656849761,125,873,1.5731526773286635,0.4789156626506024,140.5608604448955,0.42337608567739604,0.46629213483146065,1.149985225239647,0.47554347826086957,100.82451950172067,0.27397967255902356,0.5168539325842697,2.0778762551873027,0.3333333333333333,140.5608604448955,0.3374034954299251,0.2949438202247191,1.1524041512456966,0.5318725099601593,0.29672968839857394,0.7050561797752809,0.039,0.085,0.124,-1.19,73.2,4.453333333333333,75,0,2.885869565217391,524,1.423913043478261,1169,3.1752717391304346,0.1983695652173913,0.6818181818181818,1.3446387128952884,0.47331460674157305,219.81303761636838,0.3087261764274837,126,712
